obs_uid,item_name,bh_name
02a4d7aa-0e57-4a5a-9e22-a051ce601ca6,"Fresh potatoes, brown",Fresh or chilled potatoes
02c06023-2ab4-4658-94f7-e8f20d6c7836,Fresh carrots,Fresh or chilled vegetables other than potatoes
02c9f1a3-f242-4d80-bf37-6e259d299577,"Shrimps, peeled, frozen","Fresh, chilled or frozen fish and seafood"
02d0324c-98c9-44b7-b4e0-18a521d38eb0,"Beef, with bones",Beef and veal
02d6bfbf-6572-4bcb-895e-925e507f7c1a,Fresh cucumber,Fresh or chilled vegetables other than potatoes
030ccd90-bd68-4096-8e99-836864cbadb6,Fresh carrots,Fresh or chilled vegetables other than potatoes
03132e4b-4988-457f-954f-9e5073e47d03,Tilapia,"Fresh, chilled or frozen fish and seafood"
03207761-a56f-4e66-86fa-4c1f8d3e1b3a,Fresh onions,Fresh or chilled vegetables other than potatoes
033f1423-bee7-46ff-9b8a-14d056728456,"Shrimps, peeled, frozen","Fresh, chilled or frozen fish and seafood"
0350bc5d-ef82-4d23-b95a-20a745553db0,"Fresh potatoes, brown",Fresh or chilled potatoes
03792659-c941-443c-8b44-ca3d65a2bd6f,Tilapia,"Fresh, chilled or frozen fish and seafood"
037a49a2-5e2e-4915-9572-2b6c01e70229,Fresh carrots,Fresh or chilled vegetables other than potatoes
0380b8f7-aae5-440e-b4d1-f93b49151414,"Chicken, whole, fresh",Poultry
038f6037-6be1-486d-afcc-83ff291ea98d,Fresh carrots,Fresh or chilled vegetables other than potatoes
039704a6-fae3-4d48-a63e-6fe98d1f39ed,Chicken legs,Poultry
03988c0d-e46a-4e38-9fe7-592e6852e069,"Pork, ribs",Pork
03c6e240-a31e-4ff9-8291-6183f69c0be3,"Fresh apple, red delicious",Fresh or chilled fruit
04060dc0-c8c2-45ba-9068-b9b98339d51c,Fresh carrots,Fresh or chilled vegetables other than potatoes
042e9990-1d05-4c92-9f4c-d06241bd8da7,"Fresh bananas, standard",Fresh or chilled fruit
045795a3-53da-455e-bc45-9ad26e91d794,"Chicken, whole, fresh",Poultry
0459e8b0-0555-4fe2-aa11-9ff0d0d2acba,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0471d263-1a68-403b-8d45-b5e3ea2dbac6,"Fresh potatoes, brown",Fresh or chilled potatoes
0473c8a6-4afd-46ce-9e04-71fd74150b8d,Fresh oranges,Fresh or chilled fruit
04771d7f-fc01-4212-9e3d-7f5cf1008200,"Pork, fillet",Pork
0480048e-70bb-4903-ac83-3bb78606cd78,Fresh onions,Fresh or chilled vegetables other than potatoes
048900a2-298d-4491-b945-b7769c4763ef,Fresh oranges,Fresh or chilled fruit
0491766e-e071-4e1f-b64c-ccf96796a012,Fresh carrots,Fresh or chilled vegetables other than potatoes
04a1916c-65ab-4e3e-a7a2-1dcf051674e0,Fresh oranges,Fresh or chilled fruit
04ad730f-3203-4668-8519-cd86b3421c2a,Fresh cucumber,Fresh or chilled vegetables other than potatoes
04b09af1-827a-41ed-ab2c-3fee00be126c,"Fresh bananas, standard",Fresh or chilled fruit
04d5aca2-c09c-4b03-bb95-caf9d9212e16,"Fresh potatoes, brown",Fresh or chilled potatoes
04f2584d-12d8-4c1e-95e4-52e9f544df09,"Chicken eggs, caged hen, large size",Egg and egg-based products
050d01c3-e5f6-47a9-a3e3-33a94dfd2d0a,"Chicken eggs, caged hen, large size",Egg and egg-based products
052b7e8b-be65-4c7d-8169-a607dff70db3,Fresh carrots,Fresh or chilled vegetables other than potatoes
057477e6-e5ab-44ac-a4c7-e2f205260bfe,Fresh cucumber,Fresh or chilled vegetables other than potatoes
05895751-b48e-4f1f-a5fa-b35b10627912,Fresh oranges,Fresh or chilled fruit
05b5b270-bf1b-41bc-a29a-0ac862f4bea5,Fresh oranges,Fresh or chilled fruit
05bf5fa3-19ad-442c-9413-a01a11bcc683,Fresh carrots,Fresh or chilled vegetables other than potatoes
05c13862-fbcd-402a-834a-59f6ad2cb87c,Carp,"Fresh, chilled or frozen fish and seafood"
05e55641-9eb7-4cd3-8900-db0a6c3a5fa6,Fresh onions,Fresh or chilled vegetables other than potatoes
05e8bb70-2a19-4ebe-b1a6-fde5281b9f24,"Beef, minced",Beef and veal
05f7e85a-9811-4186-af90-51b066441324,"Fresh apple, red delicious",Fresh or chilled fruit
05ff3784-53d0-4489-ab07-d207c58e19c3,"Fresh apple, red delicious",Fresh or chilled fruit
060ef213-f8e2-4c6b-af0d-5bd6d6478a71,"Fresh apples, typical local variety",Fresh or chilled fruit
061f54ff-8f07-46b8-84eb-8c9b991c1ef8,"Chicken eggs, caged hen, large size",Egg and egg-based products
061fea5a-9f9a-4e2e-93ca-1079e62a1c2f,Fresh carrots,Fresh or chilled vegetables other than potatoes
063d7f8c-5697-415b-b8ae-febb498b5ba3,Tilapia,"Fresh, chilled or frozen fish and seafood"
063dba85-1bec-4c02-a363-6843b51779e1,"Chicken eggs, caged hen, large size",Egg and egg-based products
06563c21-e625-4e73-9a96-889e83c36ee1,"Fresh apples, typical local variety",Fresh or chilled fruit
0671fdca-f1f5-4669-b4bd-0a676294f660,"Pork, ribs",Pork
0674df84-124f-4029-b50b-c5cd28c00f26,Fresh carrots,Fresh or chilled vegetables other than potatoes
0691409b-d6a3-41a4-b620-21f7d1b1f6f4,Fresh oranges,Fresh or chilled fruit
06960ef4-ce79-4944-ae5c-3b199eb8508b,Chicken legs,Poultry
069eeee0-f353-46db-b1a3-52a99a5bdf1c,"Lamb, chops","Lamb, mutton and goat"
06ac2062-c11b-4dc3-a44f-9bf88699297f,Fresh carrots,Fresh or chilled vegetables other than potatoes
06e96b81-9816-42d5-b938-f466c0d181be,Fresh carrots,Fresh or chilled vegetables other than potatoes
06f4df67-4178-4619-be49-b19f7c7ccff8,Chicken legs,Poultry
0702b845-5119-4a8d-9f5d-fedb4a0288fd,Fresh carrots,Fresh or chilled vegetables other than potatoes
070a8bb9-182a-46f3-abe2-bfd282fded15,Carp,"Fresh, chilled or frozen fish and seafood"
07198cf2-d781-483e-a937-803dac413f31,"Fresh apple, red delicious",Fresh or chilled fruit
07251228-4e8a-42ca-831d-770ab05ee50f,Fresh carrots,Fresh or chilled vegetables other than potatoes
0741f66d-9977-42ca-895c-8d7f8581e91b,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0772f3f5-ff00-41b1-af1e-83ae3ebeac3e,Fresh oranges,Fresh or chilled fruit
077d0576-45a7-4fa6-a7e5-e5a5fd9b779f,"Fresh potatoes, brown",Fresh or chilled potatoes
078f0031-664b-4d82-b71a-0dc007c16fa8,"Chicken, whole, fresh",Poultry
0791f1d1-ccb3-45ab-ad60-a1201e0000fb,Fresh oranges,Fresh or chilled fruit
081df1ec-b160-44c0-b7f3-37868b208124,Fresh oranges,Fresh or chilled fruit
0837a676-590c-4e4d-9373-cd1ad57292b9,"Beef, with bones",Beef and veal
083e4474-9fda-4b3f-a07b-fd2e836e275d,"Fresh potatoes, brown",Fresh or chilled potatoes
086449d9-9231-476c-a6e5-6a49eee5363d,Fresh onions,Fresh or chilled vegetables other than potatoes
08b218c7-d32f-460a-af60-996115ed0322,"Fresh potatoes, brown",Fresh or chilled potatoes
08b2749a-427a-4f3f-8140-9c4413ce172a,Fresh cucumber,Fresh or chilled vegetables other than potatoes
08c0e43d-6125-4ab0-a10d-bd2fc0730c52,Fresh cucumber,Fresh or chilled vegetables other than potatoes
08cde768-c54a-440b-93a1-64e86ac14be2,"Fresh apples, typical local variety",Fresh or chilled fruit
08f2449e-5b4b-4228-8a4c-011e907f688d,Chicken legs,Poultry
08f3b343-b835-465b-bf37-be2ca108864a,Carp,"Fresh, chilled or frozen fish and seafood"
0923f4b4-9cd9-4e61-bf41-ef1554bd9027,"Fresh bananas, standard",Fresh or chilled fruit
092f196b-9093-455f-a211-10bc1d79f4ea,"Lamb, chops","Lamb, mutton and goat"
09346b1c-0a36-47f9-9886-a497bd97af13,"Fresh apple, red delicious",Fresh or chilled fruit
09385fed-4877-4f1a-84f2-843a0d790eb4,"Fresh potatoes, brown",Fresh or chilled potatoes
0943d963-c23f-4cab-83f6-2bb9172137a6,"Fresh bananas, standard",Fresh or chilled fruit
0945ddd5-4918-467e-9739-c4cb3420418a,Fresh cucumber,Fresh or chilled vegetables other than potatoes
095b1f40-35a2-4975-91bc-3d5194f434eb,Fresh oranges,Fresh or chilled fruit
09608af6-0422-4665-97c8-48b67e759c4b,Fresh onions,Fresh or chilled vegetables other than potatoes
099239c6-27d3-42fc-bcbe-4a082ade5e86,Fresh oranges,Fresh or chilled fruit
09ada9d2-face-4fbb-82c6-9415867d8685,"Chicken, whole, fresh",Poultry
09be0bce-f2de-43ee-85e3-13030a11db2a,Tilapia,"Fresh, chilled or frozen fish and seafood"
09d5da84-8d0d-4d56-b899-d6b44e767f14,"Fresh potatoes, brown",Fresh or chilled potatoes
09dcde0d-a484-4771-8a3f-a39c4dbabc8b,Fresh oranges,Fresh or chilled fruit
09e7c974-53ea-48ae-a211-fbf6a68da485,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0a1b44df-9373-49ca-b44e-2806d50ca367,"Fresh apples, typical local variety",Fresh or chilled fruit
0a1deb37-29b2-4998-be31-075d9e1493aa,Fresh carrots,Fresh or chilled vegetables other than potatoes
0a20bfe5-b579-4496-91c1-357c44642dd8,Fresh onions,Fresh or chilled vegetables other than potatoes
0a2d2c60-514f-4ae0-9448-b262be043466,Fresh onions,Fresh or chilled vegetables other than potatoes
0a34a6a7-5394-4d52-8a9e-d44479c43aad,"Fresh bananas, standard",Fresh or chilled fruit
0a7054e3-ee9f-439f-9b9a-3beaf69a8e5c,"Chicken eggs, caged hen, large size",Egg and egg-based products
0a807c90-f1a9-4d86-ac7c-5e487ef0945e,"Pork, fillet",Pork
0aa5c91d-a302-4e0c-87b2-58a6828949f6,Fresh oranges,Fresh or chilled fruit
0aa7939e-27ed-48f2-ad96-ef281764e027,"Fresh apples, typical local variety",Fresh or chilled fruit
0ab02174-a090-455f-ad89-b28386074930,Fresh carrots,Fresh or chilled vegetables other than potatoes
0abe3af3-1253-40ae-825d-ebe51f8274db,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0aec4e88-4d37-44b6-a947-3a93e17c9c70,Fresh oranges,Fresh or chilled fruit
0b1c49ee-6cc1-4b15-9b09-5f87d658cfd0,Fresh onions,Fresh or chilled vegetables other than potatoes
0b267426-4560-42ed-a9d4-b25df7030a51,"Fresh apples, typical local variety",Fresh or chilled fruit
0b270bbe-6073-4441-9a76-db3d8e2d8f04,"Beef, minced",Beef and veal
0b2c94c9-509d-423d-a1eb-70c121dfea6b,"Chicken eggs, caged hen, large size",Egg and egg-based products
0b346e4b-12e2-4476-af01-df556733f3be,Fresh oranges,Fresh or chilled fruit
0b6cc18e-d5c4-4695-bb4c-7eb12f17412a,"Fresh bananas, standard",Fresh or chilled fruit
0b714ad8-a5fa-4895-94ba-7ff83ccc3479,"Fresh apples, typical local variety",Fresh or chilled fruit
0b90e1cb-cb8f-474e-95d4-84b6fbe9470f,"Fresh apples, typical local variety",Fresh or chilled fruit
0b9c270a-6c03-41bb-ab4d-d703c2be9c25,"Fresh bananas, standard",Fresh or chilled fruit
0bb8f249-9956-428d-856a-b6a084ee3b93,Fresh oranges,Fresh or chilled fruit
0bc04d52-f423-4690-a0da-fc947651d4fb,Chicken legs,Poultry
0bc211f1-dacb-4b92-b227-47d9ebb1cc93,"Beef, with bones",Beef and veal
0bcc8b0f-9d38-43ab-8392-71027fe63d93,Fresh onions,Fresh or chilled vegetables other than potatoes
0bdf2cdb-68fe-4096-b6fa-eaec4589ec98,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0be67978-dc6e-4207-97ab-8d9e0a7490d7,"Chicken eggs, caged hen, large size",Egg and egg-based products
0beda3c6-c73b-4086-b82a-b5dd9412d7e5,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0c0cc1d1-3f1c-40de-9892-93dc57673c74,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0c132732-7829-407b-b6bd-c6f588e217d7,"Goat, mixed cut, with bones","Lamb, mutton and goat"
0c358846-3b73-4904-a71d-3853ff7c78e6,"Fresh potatoes, brown",Fresh or chilled potatoes
0c420746-b0ae-439a-b976-b00a3e2c227e,"Beef, with bones",Beef and veal
0c52d46f-3687-4c49-a2e0-e150875172f3,Fresh onions,Fresh or chilled vegetables other than potatoes
0c586176-b462-49d3-b7b5-420209099298,Fresh oranges,Fresh or chilled fruit
0c626d17-fae9-4dcc-9a78-e87b1af7c942,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0c769680-d770-4aa9-a438-d821c21a436b,"Lamb, chops","Lamb, mutton and goat"
0c87d0dc-0309-4fa3-b902-3c870ed82625,"Fresh apples, typical local variety",Fresh or chilled fruit
0ca645b0-eade-4d97-a817-7b6f70483165,"Fresh apples, typical local variety",Fresh or chilled fruit
0cac052c-5179-43e8-bb18-39c0bbec1abf,"Fresh potatoes, brown",Fresh or chilled potatoes
0ccc8baf-effe-408c-9c59-81913bd10d48,Fresh oranges,Fresh or chilled fruit
0cd08487-7bea-45dc-942a-e7738d6fa54e,Tilapia,"Fresh, chilled or frozen fish and seafood"
0cea152b-74c2-46b7-b616-9baf3bbe3f66,"Fresh bananas, standard",Fresh or chilled fruit
0cf63c41-9fbb-48fc-ae36-be44275d698d,"Beef, with bones",Beef and veal
0d1f69ec-74e6-44c0-9991-a3d542d2c579,"Fresh apple, red delicious",Fresh or chilled fruit
0d5c28bd-bfed-4a1b-bc9a-9c9fcba4c23e,Fresh oranges,Fresh or chilled fruit
0d87d0c5-389d-4921-8070-5f3eba07f795,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0d9817c2-1239-4e4e-ad36-1658727fc7d8,"Beef, with bones",Beef and veal
0d9d45f7-0861-44ee-99d3-2e6241d1ce03,"Chicken eggs, caged hen, large size",Egg and egg-based products
0da08a0f-bc0c-453b-90c2-839b9f94c4e9,"Chicken eggs, caged hen, large size",Egg and egg-based products
0db83893-42f3-4c8b-8b1b-7a7fa65092a6,Fresh onions,Fresh or chilled vegetables other than potatoes
0dba5a69-0ce3-4f17-ae21-c5bd292d4091,"Pork, fillet",Pork
0dc23a03-5c41-440f-b683-3ea0bc9f9ced,"Chicken, whole, frozen",Poultry
0dc33681-4fb1-41d8-85bd-5e37b973e7c0,"Chicken, whole, fresh",Poultry
0dc63a47-0de2-4190-8ee0-6246bf5584f0,"Fresh potatoes, brown",Fresh or chilled potatoes
0dc6bccb-4da5-458b-a5e1-a9bcba9300ed,"Chicken, whole, frozen",Poultry
0dd63e02-7e8f-4689-9b5f-74e80a8a2ef7,Chicken legs,Poultry
0de93f5f-556c-40c5-9fcb-792198dc0209,"Chicken eggs, caged hen, large size",Egg and egg-based products
0e015078-e045-4f7b-9f96-1d1d87834007,"Fresh bananas, standard",Fresh or chilled fruit
0e06a3b5-e03e-4730-9f9e-263834cd8292,"Beef, minced",Beef and veal
0e0737bd-8186-4125-85f1-36ec3f193807,"Fresh apples, typical local variety",Fresh or chilled fruit
0e24d610-ac39-411f-9a07-2e8ff052ee80,"Fresh apple, red delicious",Fresh or chilled fruit
0e29e62e-a50c-4ae0-a6d7-e7a795fdfee2,Fresh onions,Fresh or chilled vegetables other than potatoes
0e3fbd17-7930-4941-b0be-5df9c9327d11,Fresh carrots,Fresh or chilled vegetables other than potatoes
0e48a4c0-3f75-4474-8b3e-199af465b618,"Fresh apple, red delicious",Fresh or chilled fruit
0e569ff1-711d-4cb8-a13f-68db8f5a385b,"Lamb, chops","Lamb, mutton and goat"
0e5fa2ec-91ae-4c48-9f82-824469533845,"Fresh apple, red delicious",Fresh or chilled fruit
0e65ff2c-a361-442d-b1af-08b80617be1d,"Pork, fillet",Pork
0e6e09fa-a7c1-4b07-b73c-20881c6ffd43,"Fresh apples, typical local variety",Fresh or chilled fruit
0eb8c521-6fe6-4e65-afe3-b87400eb096e,"Fresh bananas, standard",Fresh or chilled fruit
0eccc264-7b16-445c-ae64-4447f3ffd01f,"Fresh bananas, standard",Fresh or chilled fruit
0edf156d-1c29-4392-876a-b36e161a75ea,Fresh onions,Fresh or chilled vegetables other than potatoes
0f02427b-089e-4d68-8b82-a3f0febd9750,"Fresh bananas, standard",Fresh or chilled fruit
0f0d7632-0221-4824-ac88-16fd55932e59,Fresh cucumber,Fresh or chilled vegetables other than potatoes
0f23e5c6-781f-4fbf-9054-6a251b88c0fa,Fresh oranges,Fresh or chilled fruit
0f4c5f3c-dc0c-4677-a20e-11dc7d8908d5,"Shrimps, peeled, frozen","Fresh, chilled or frozen fish and seafood"
0f6a205f-3940-416f-adcb-3d476a3aa09a,Fresh oranges,Fresh or chilled fruit
0f748d79-a0d6-4297-bc7b-a9517147ceff,Fresh oranges,Fresh or chilled fruit
0fa135c2-66bc-418f-a136-b37c64a0a456,"Fresh potatoes, brown",Fresh or chilled potatoes
0fc7123a-e636-45f2-b544-08b40c23903f,"Fresh apple, red delicious",Fresh or chilled fruit
0ff4c157-78b1-416b-82cb-5f571d47a278,"Chicken eggs, caged hen, large size",Egg and egg-based products
104e23a8-63e1-433e-913d-1ab724a57cd3,"Fresh apple, red delicious",Fresh or chilled fruit
1053a415-7c80-4c25-9dfe-f265370ca149,Fresh oranges,Fresh or chilled fruit
10583936-00c0-4221-ab37-59916c203541,Tilapia,"Fresh, chilled or frozen fish and seafood"
106432e9-2b38-4c16-917a-1d720d6955c6,Fresh onions,Fresh or chilled vegetables other than potatoes
107b541e-0c45-4ced-99cd-a6432184e7e5,Carp,"Fresh, chilled or frozen fish and seafood"
10988141-3004-45a6-8457-96cbe1356b78,"Fresh bananas, standard",Fresh or chilled fruit
10a76892-7cde-4da5-8035-34d386f003f8,"Fresh apples, typical local variety",Fresh or chilled fruit
10c55dc9-d231-4e1b-908a-8ea04a213b7b,Fresh oranges,Fresh or chilled fruit
1129cd88-80a7-4192-b3e0-dde97f9bbbc8,Fresh onions,Fresh or chilled vegetables other than potatoes
11624b9e-d2f7-4205-8097-66aedc3e97a9,"Pork, fillet",Pork
1196d8fc-f5db-4843-87ea-be7cbebe8dc7,"Fresh potatoes, brown",Fresh or chilled potatoes
119d4d04-843e-426c-8b3d-3bcdbdc6da05,"Mackerel, un-cleaned","Fresh, chilled or frozen fish and seafood"
11a4afe4-74d0-4ce7-8359-a192b5f1cc3e,Fresh oranges,Fresh or chilled fruit
11c7ab78-db15-4a5e-a608-154b3d200f05,"Fresh apple, red delicious",Fresh or chilled fruit
11f88ecf-156b-42ea-869c-a33192d3439c,"Beef, minced",Beef and veal
11fdd39c-41ee-4bbf-acc3-58997a2cbf61,"Pork, ribs",Pork
120a163e-db33-4641-b311-a62b2e2050da,"Chicken eggs, caged hen, large size",Egg and egg-based products
120e0c14-6f01-41c7-ae72-e3386326c260,"Fresh apple, red delicious",Fresh or chilled fruit
12134c73-6f28-4bd7-a94f-2685ad867204,Fresh onions,Fresh or chilled vegetables other than potatoes
12209c51-7271-4503-90de-02d5227920c7,"Pork, ribs",Pork
12454018-7a58-4822-99be-8d5aaaa4dc9b,"Fresh potatoes, brown",Fresh or chilled potatoes
124e4c0e-9f87-4037-b06b-266a26c83ff1,"Fresh apple, red delicious",Fresh or chilled fruit
12969800-5d92-4597-b4a4-4ee925ce7a99,"Fresh apples, typical local variety",Fresh or chilled fruit
12abb6c7-6e1a-4f4b-afa0-0463005e362a,Fresh cucumber,Fresh or chilled vegetables other than potatoes
12af5036-cfac-4342-82c4-a2a94a609f4a,"Chicken, whole, fresh",Poultry
12be7730-6aa0-4211-b016-764fa920dcc9,"Fresh apple, red delicious",Fresh or chilled fruit
1300fd74-544a-42f5-8a05-a4c464a5c2a0,Tilapia,"Fresh, chilled or frozen fish and seafood"
130d1ea7-b64e-4be7-87b2-9ef70d0e2365,"Fresh apple, red delicious",Fresh or chilled fruit
131a7da3-89d6-4228-95dd-42ba67e8ad5a,"Fresh bananas, standard",Fresh or chilled fruit
13366af1-3764-4936-bc63-a86616fec4f4,Fresh oranges,Fresh or chilled fruit
1340591d-f1e4-4d7f-b8b0-71509af57c7d,Tilapia,"Fresh, chilled or frozen fish and seafood"
135aed0b-558a-4f9e-b02f-3d3e3284c9de,Fresh onions,Fresh or chilled vegetables other than potatoes
13719930-08de-4327-9a71-98e6d31d0e9a,Fresh oranges,Fresh or chilled fruit
1382cedb-d4dd-4aa6-8172-0d5aa2867218,Fresh cucumber,Fresh or chilled vegetables other than potatoes
13928d25-0ce4-4fba-be63-768248085610,Fresh onions,Fresh or chilled vegetables other than potatoes
13bbc593-6213-42e4-af10-029c9fcc8821,"Fresh apples, typical local variety",Fresh or chilled fruit
13dcd82f-9ffd-4d9d-8d7c-d8c0bc3137f2,Fresh carrots,Fresh or chilled vegetables other than potatoes
13e417fe-7f21-4910-a55b-d61f52b7c915,Fresh oranges,Fresh or chilled fruit
13f23956-27d8-4bf7-b8f2-b44edf98b2fd,"Fresh bananas, standard",Fresh or chilled fruit
14826d1a-fcb6-4098-827b-dbc92725f222,"Pork, fillet",Pork
1484d307-afe4-493d-a115-a9fb31c6465d,"Fresh potatoes, brown",Fresh or chilled potatoes
14918121-2add-4e0b-825b-6afcb409ce02,"Fresh apples, typical local variety",Fresh or chilled fruit
1494fc66-e713-4820-9dbf-d47132465090,"Shrimps, peeled, frozen","Fresh, chilled or frozen fish and seafood"
14965bf1-c826-4b54-900d-4f33e17cda73,"Chicken eggs, caged hen, large size",Egg and egg-based products
14c04481-7341-4138-b399-f5f09e7e8371,Fresh oranges,Fresh or chilled fruit
14e295ac-418d-4470-9286-6444b4bf0e61,Fresh oranges,Fresh or chilled fruit
14e3d99e-aee6-4b0f-89f5-1cc900be8887,Fresh carrots,Fresh or chilled vegetables other than potatoes
150e7458-83b9-4b1f-b26b-af881efc511a,Fresh cucumber,Fresh or chilled vegetables other than potatoes
151359fe-0cbe-406c-a5c3-a63dd8dfbc33,"Fresh bananas, standard",Fresh or chilled fruit
15173a6f-caab-4605-94bb-3fb69548856d,Fresh onions,Fresh or chilled vegetables other than potatoes
15370805-6484-49ec-8ef3-28d6a731f24d,"Fresh apple, red delicious",Fresh or chilled fruit
1547999c-9c2d-4a76-a266-5fb0ccf1456a,"Beef, minced",Beef and veal
155d3643-e207-415c-8db0-8c2c8ff24d9a,Fresh carrots,Fresh or chilled vegetables other than potatoes
156f81c1-305c-4a72-bf89-2f0551b2073b,"Goat, mixed cut, with bones","Lamb, mutton and goat"
15816deb-d8ed-4959-acd1-251a70ee800e,Carp,"Fresh, chilled or frozen fish and seafood"
15971ee0-ea90-41ed-a17a-60301be5c55c,Fresh cucumber,Fresh or chilled vegetables other than potatoes
159db01b-3e8e-4b5f-95c8-a7828d5109d9,"Pork, ribs",Pork
15a7ace6-9de4-41b6-8382-2c422e25574b,Fresh onions,Fresh or chilled vegetables other than potatoes
15b5a454-0404-4d67-bbc4-9f6e382cab3d,"Lamb, chops","Lamb, mutton and goat"
15dcaa19-98a5-4f55-b5c4-125212c97c59,Fresh carrots,Fresh or chilled vegetables other than potatoes
161cbfbe-f19c-4d84-92bc-e6a378a75e79,Fresh oranges,Fresh or chilled fruit
162bf1d8-0c88-497e-9e40-d46f0ee68a9d,"Mackerel, un-cleaned","Fresh, chilled or frozen fish and seafood"
16417e85-5ede-4389-a9d6-bd14b6a7b603,Fresh cucumber,Fresh or chilled vegetables other than potatoes
1655af28-57fc-4457-9ceb-c86cc9389740,"Fresh bananas, standard",Fresh or chilled fruit
1658abc5-1e05-42d9-98b5-567283954bac,"Beef, minced",Beef and veal
1663a81e-1f8a-46f0-ab13-5aad63290d3a,"Pork, fillet",Pork
16a5ae31-dfc1-4190-8080-34ec713b991c,Fresh carrots,Fresh or chilled vegetables other than potatoes
16b5151a-1896-4276-83e6-8260cbf37e48,"Fresh bananas, standard",Fresh or chilled fruit
16cace82-ff2d-439f-aba6-1481c0ee22a4,"Fresh apples, typical local variety",Fresh or chilled fruit
16eca611-e071-4343-a045-3edcf798e63d,"Fresh apples, typical local variety",Fresh or chilled fruit
16fdc413-9bbb-44be-a804-925d1ce57907,"Fresh potatoes, brown",Fresh or chilled potatoes
170aeb29-932a-4f11-a3bf-f1c24f3ff9b6,Fresh cucumber,Fresh or chilled vegetables other than potatoes
17ada440-6477-48f7-ab54-bf515ca5628f,Fresh onions,Fresh or chilled vegetables other than potatoes
17bbed53-4ad7-42fd-a666-ae2bf0e2256c,"Chicken eggs, caged hen, large size",Egg and egg-based products
17ea68d1-75b3-412d-ac5b-32b0de895ebe,"Mackerel, un-cleaned","Fresh, chilled or frozen fish and seafood"
17ee989c-bd46-4eff-8704-291da862a31e,"Fresh apples, typical local variety",Fresh or chilled fruit
18027c54-1430-4a6f-94e6-8190d510417d,Fresh cucumber,Fresh or chilled vegetables other than potatoes
18318208-b14a-4a9d-87e0-99a7dd7fd550,"Fresh bananas, standard",Fresh or chilled fruit
